,name,code,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,adjust_price,arrivals,gdp_capita,distance,Distance_km
118,Sweden,SWE,SEK,57.4,10.2154,56114.285,567553.982,2023-01-01,5.618967441314094,20681.0,56305.0,9092.0,9233
120,Thailand,THA,THB,128.0,32.8225,7072.755,247980.335,2023-01-01,3.8997638814837385,2362222.0,7172.0,864.0,1301
122,Taiwan,TWN,TWD,75.0,30.369,32609.595,971972.447,2023-01-01,2.469623629358886,314100.0,,2935.0,2974
124,Ukraine,UKR,UAH,92.0,36.917,4582.609,148195.287,2023-01-01,2.4920768209767856,13729.0,5181.0,8193.0,8248
126,Uruguay,URY,UYU,268.0,39.125,19737.342,812540.335,2023-01-01,6.849840255591055,1368.0,22565.0,16134.0,16107
128,United States,USA,USD,5.36,1.0,77191.871,77191.871,2023-01-01,5.36,267340.0,81695.0,14803.0,15070
130,Venezuela,VEN,VES,56.3,20.7081,3421.754,23902.4,2023-01-01,2.7187429073647507,1250.0,,17815.0,18280
131,Vietnam,VNM,VND,72000.0,23450.0,4101.73,96004167.138,2023-01-01,3.070362473347548,402145.0,4347.0,709.0,1295
133,South Africa,ZAF,ZAR,49.9,17.21,6684.479,109374.794,2023-01-01,2.8994770482277743,19621.0,6253.0,9823.0,9203
135,Croatia,HRV,EUR,4.09,0.90699,18583.329,17633.299,2023-07-01,4.509421272560888,2803.0,21460.0,9235.0,9423
