,name,code,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,adjust_price,arrivals,gdp_capita,distance
53,Poland,POL,PLN,17.75,4.3373,18278.144,81464.776,2023-01-01,4.092407719087912,24114.0,22113.0,8874.0
54,Portugal,PRT,EUR,4.4,0.9195,24798.524,23530.756,2023-01-01,4.78520935290919,12120.0,27275.0,11405.0
55,Qatar,QAT,QAR,14.0,3.64175,80572.587,293284.215,2023-01-01,3.8443056222969725,2725.0,,5792.0
56,Romania,ROU,RON,12.3,4.51885,15821.133,74033.726,2023-01-01,2.7219314648638484,10684.0,18419.0,8434.0
57,Saudi Arabia,SAU,SAR,19.0,3.7545,34454.212,129203.296,2023-01-01,5.06059395392196,56919.0,28895.0,6255.0
58,Singapore,SGP,SGD,5.9,1.32015,88428.724,121913.734,2023-01-01,4.469189107298414,14885712.0,84734.0,565.0
59,Slovakia,SVK,EUR,4.0,0.9195,21261.948,20174.979,2023-01-01,4.3501903208265364,5417.0,24470.0,9144.0
60,Slovenia,SVN,EUR,3.5,0.9195,28526.671,27068.309,2023-01-01,3.806416530723219,2227.0,32164.0,9348.0
61,Sweden,SWE,SEK,57.4,10.2154,56114.285,567553.982,2023-01-01,5.618967441314094,20681.0,56305.0,9092.0
62,Thailand,THA,THB,128.0,32.8225,7072.755,247980.335,2023-01-01,3.8997638814837385,2362222.0,7172.0,864.0
63,Turkey,TUR,TRY,75.0,18.8055,10621.965,176029.268,2023-01-01,3.988194942968813,21675.0,12986.0,8164.0
64,Taiwan,TWN,TWD,75.0,30.369,32609.595,971972.447,2023-01-01,2.469623629358886,314100.0,,2935.0
65,Ukraine,UKR,UAH,92.0,36.917,4582.609,148195.287,2023-01-01,2.4920768209767856,13729.0,5181.0,8193.0
66,Uruguay,URY,UYU,268.0,39.125,19737.342,812540.335,2023-01-01,6.8498402555910545,1368.0,22565.0,16134.0
67,United States,USA,USD,5.36,1.0,77191.871,77191.871,2023-01-01,5.36,267340.0,81695.0,14803.0
68,Venezuela,VEN,VES,56.3,20.7081,3421.754,23902.4,2023-01-01,2.7187429073647507,1250.0,,17815.0
69,Vietnam,VNM,VND,72000.0,23450.0,4101.73,96004167.138,2023-01-01,3.070362473347548,402145.0,4347.0,709.0
70,South Africa,ZAF,ZAR,49.9,17.21,6684.479,109374.794,2023-01-01,2.8994770482277743,19621.0,6253.0,9823.0
71,United Arab Emirates,ARE,AED,18.0,3.67305,52625.126,193265.777,2023-07-01,4.900559480540696,8475.0,52977.0,5421.0
72,Argentina,ARG,ARS,1650.0,275.275,13640.41,1782994.2,2023-07-01,5.994005994005994,6162.0,13731.0,16282.0
73,Australia,AUS,AUD,7.45,1.48400979446464,65574.862,94358.39,2023-07-01,5.020182500000012,409096.0,64712.0,6792.0
74,Austria,AUT,EUR,4.81,0.90699,52483.93,49800.808,2023-07-01,5.3032558242097485,14358.0,56506.0,9198.0
75,Azerbaijan,AZE,AZN,5.95,1.7025,7822.589,13298.401,2023-07-01,3.494860499265786,1712.0,7155.0,6433.0
76,Belgium,BEL,EUR,4.9,0.90699,50259.448,47690.048,2023-07-01,5.4024851431658565,21020.0,53475.0,10035.0
