,date,sub-region,arrivals
134,Aug 2023,Northern Europe,490.0
135,Aug 2023,Polynesia,4.0
136,Aug 2023,South-eastern Asia,19172.0
137,Aug 2023,Southern Asia,2882.0
138,Aug 2023,Southern Europe,365.0
139,Aug 2023,Sub-Saharan Africa,56.0
140,Aug 2023,Western Asia,283.0
141,Aug 2023,Western Europe,634.0
142,Dec 2020,Australia and New Zealand,18.0
143,Dec 2020,Central Asia,2.0
144,Dec 2020,Eastern Asia,101.0
145,Dec 2020,Eastern Europe,13.0
146,Dec 2020,Latin America and the Caribbean,4.0
147,Dec 2020,Melanesia,3.0
148,Dec 2020,Micronesia,8.0
149,Dec 2020,Northern Africa,12.0
150,Dec 2020,Northern America,26.0
151,Dec 2020,Northern Europe,15.0
152,Dec 2020,South-eastern Asia,680.0
153,Dec 2020,Southern Asia,71.0
154,Dec 2020,Southern Europe,7.0
155,Dec 2020,Sub-Saharan Africa,4.0
156,Dec 2020,Western Asia,6.0
157,Dec 2020,Western Europe,11.0
158,Dec 2021,Australia and New Zealand,81.0
159,Dec 2021,Central Asia,19.0
160,Dec 2021,Eastern Asia,185.0
161,Dec 2021,Eastern Europe,25.0
162,Dec 2021,Latin America and the Caribbean,6.0
163,Dec 2021,Melanesia,3.0
164,Dec 2021,Northern Africa,98.0
165,Dec 2021,Northern America,103.0
166,Dec 2021,Northern Europe,75.0
167,Dec 2021,South-eastern Asia,1174.0
168,Dec 2021,Southern Asia,953.0
169,Dec 2021,Southern Europe,14.0
170,Dec 2021,Sub-Saharan Africa,16.0
171,Dec 2021,Western Asia,62.0
172,Dec 2021,Western Europe,44.0
173,Dec 2022,Australia and New Zealand,1941.0
174,Dec 2022,Central Asia,106.0
175,Dec 2022,Eastern Asia,1947.0
176,Dec 2022,Eastern Europe,219.0
177,Dec 2022,Latin America and the Caribbean,24.0
178,Dec 2022,Melanesia,19.0
179,Dec 2022,Micronesia,2.0
180,Dec 2022,Northern Africa,100.0
181,Dec 2022,Northern America,1002.0
182,Dec 2022,Northern Europe,368.0
183,Dec 2022,Polynesia,3.0
184,Dec 2022,South-eastern Asia,18823.0
185,Dec 2022,Southern Asia,2158.0
186,Dec 2022,Southern Europe,87.0
187,Dec 2022,Sub-Saharan Africa,60.0
188,Dec 2022,Western Asia,102.0
189,Dec 2022,Western Europe,365.0
