,date,sub-region,arrivals
678,Nov 2020,Australia and New Zealand,28.0
679,Nov 2020,Central Asia,3.0
680,Nov 2020,Eastern Asia,138.0
681,Nov 2020,Eastern Europe,16.0
682,Nov 2020,Latin America and the Caribbean,2.0
683,Nov 2020,Melanesia,1.0
684,Nov 2020,Micronesia,10.0
685,Nov 2020,Northern Africa,8.0
686,Nov 2020,Northern America,34.0
687,Nov 2020,Northern Europe,22.0
688,Nov 2020,South-eastern Asia,537.0
689,Nov 2020,Southern Asia,67.0
690,Nov 2020,Southern Europe,6.0
691,Nov 2020,Sub-Saharan Africa,5.0
692,Nov 2020,Western Asia,8.0
693,Nov 2020,Western Europe,17.0
694,Nov 2021,Australia and New Zealand,40.0
695,Nov 2021,Central Asia,12.0
696,Nov 2021,Eastern Asia,129.0
697,Nov 2021,Eastern Europe,15.0
698,Nov 2021,Latin America and the Caribbean,5.0
699,Nov 2021,Melanesia,1.0
700,Nov 2021,Northern Africa,72.0
701,Nov 2021,Northern America,47.0
702,Nov 2021,Northern Europe,40.0
703,Nov 2021,South-eastern Asia,774.0
704,Nov 2021,Southern Asia,219.0
705,Nov 2021,Southern Europe,14.0
706,Nov 2021,Sub-Saharan Africa,10.0
707,Nov 2021,Western Asia,35.0
708,Nov 2021,Western Europe,33.0
709,Nov 2022,Australia and New Zealand,1367.0
710,Nov 2022,Central Asia,80.0
711,Nov 2022,Eastern Asia,1583.0
712,Nov 2022,Eastern Europe,188.0
713,Nov 2022,Latin America and the Caribbean,29.0
714,Nov 2022,Melanesia,16.0
715,Nov 2022,Micronesia,3.0
716,Nov 2022,Northern Africa,100.0
717,Nov 2022,Northern America,1094.0
718,Nov 2022,Northern Europe,322.0
719,Nov 2022,Polynesia,5.0
720,Nov 2022,South-eastern Asia,15963.0
721,Nov 2022,Southern Asia,2412.0
722,Nov 2022,Southern Europe,100.0
723,Nov 2022,Sub-Saharan Africa,53.0
724,Nov 2022,Western Asia,128.0
725,Nov 2022,Western Europe,330.0
726,Nov 2023,Australia and New Zealand,1675.0
727,Nov 2023,Central Asia,117.0
728,Nov 2023,Eastern Asia,3881.0
729,Nov 2023,Eastern Europe,233.0
730,Nov 2023,Latin America and the Caribbean,42.0
731,Nov 2023,Melanesia,33.0
732,Nov 2023,Micronesia,4.0
733,Nov 2023,Northern Africa,219.0
734,Nov 2023,Northern America,1299.0
735,Nov 2023,Northern Europe,370.0
736,Nov 2023,Polynesia,7.0
737,Nov 2023,South-eastern Asia,20371.0
738,Nov 2023,Southern Asia,2049.0
739,Nov 2023,Southern Europe,145.0
740,Nov 2023,Sub-Saharan Africa,68.0
741,Nov 2023,Western Asia,194.0
742,Nov 2023,Western Europe,412.0
743,Oct 2020,Australia and New Zealand,22.0
744,Oct 2020,Central Asia,3.0
745,Oct 2020,Eastern Asia,140.0
746,Oct 2020,Eastern Europe,16.0
747,Oct 2020,Latin America and the Caribbean,3.0
748,Oct 2020,Micronesia,12.0
749,Oct 2020,Northern Africa,13.0
750,Oct 2020,Northern America,22.0
751,Oct 2020,Northern Europe,22.0
752,Oct 2020,South-eastern Asia,488.0
753,Oct 2020,Southern Asia,56.0
754,Oct 2020,Southern Europe,10.0
755,Oct 2020,Sub-Saharan Africa,6.0
756,Oct 2020,Western Asia,17.0
757,Oct 2020,Western Europe,20.0
758,Oct 2021,Australia and New Zealand,29.0
759,Oct 2021,Central Asia,14.0
760,Oct 2021,Eastern Asia,154.0
761,Oct 2021,Eastern Europe,13.0
762,Oct 2021,Latin America and the Caribbean,5.0
763,Oct 2021,Micronesia,1.0
764,Oct 2021,Northern Africa,52.0
765,Oct 2021,Northern America,83.0
766,Oct 2021,Northern Europe,29.0
767,Oct 2021,South-eastern Asia,803.0
768,Oct 2021,Southern Asia,97.0
769,Oct 2021,Southern Europe,10.0
770,Oct 2021,Sub-Saharan Africa,11.0
771,Oct 2021,Western Asia,43.0
772,Oct 2021,Western Europe,27.0
773,Oct 2022,Australia and New Zealand,1136.0
774,Oct 2022,Central Asia,60.0
775,Oct 2022,Eastern Asia,1683.0
776,Oct 2022,Eastern Europe,143.0
777,Oct 2022,Latin America and the Caribbean,26.0
778,Oct 2022,Melanesia,23.0
779,Oct 2022,Micronesia,2.0
780,Oct 2022,Northern Africa,142.0
781,Oct 2022,Northern America,969.0
782,Oct 2022,Northern Europe,374.0
783,Oct 2022,Polynesia,5.0
784,Oct 2022,South-eastern Asia,15957.0
785,Oct 2022,Southern Asia,2259.0
786,Oct 2022,Southern Europe,106.0
787,Oct 2022,Sub-Saharan Africa,33.0
788,Oct 2022,Western Asia,103.0
789,Oct 2022,Western Europe,366.0
790,Oct 2023,Australia and New Zealand,1516.0
791,Oct 2023,Central Asia,111.0
792,Oct 2023,Eastern Asia,3980.0
793,Oct 2023,Eastern Europe,193.0
794,Oct 2023,Latin America and the Caribbean,46.0
795,Oct 2023,Melanesia,34.0
796,Oct 2023,Micronesia,2.0
797,Oct 2023,Northern Africa,239.0
798,Oct 2023,Northern America,1309.0
799,Oct 2023,Northern Europe,414.0
800,Oct 2023,Polynesia,8.0
801,Oct 2023,South-eastern Asia,19804.0
802,Oct 2023,Southern Asia,2419.0
803,Oct 2023,Southern Europe,126.0
804,Oct 2023,Sub-Saharan Africa,52.0
805,Oct 2023,Western Asia,157.0
806,Oct 2023,Western Europe,434.0
807,Sep 2020,Australia and New Zealand,40.0
808,Sep 2020,Central Asia,6.0
809,Sep 2020,Eastern Asia,112.0
810,Sep 2020,Eastern Europe,21.0
811,Sep 2020,Latin America and the Caribbean,2.0
812,Sep 2020,Melanesia,1.0
813,Sep 2020,Northern Africa,13.0
814,Sep 2020,Northern America,63.0
815,Sep 2020,Northern Europe,21.0
816,Sep 2020,South-eastern Asia,465.0
817,Sep 2020,Southern Asia,62.0
818,Sep 2020,Southern Europe,5.0
819,Sep 2020,Sub-Saharan Africa,7.0
820,Sep 2020,Western Asia,12.0
821,Sep 2020,Western Europe,18.0
822,Sep 2021,Australia and New Zealand,23.0
823,Sep 2021,Central Asia,12.0
824,Sep 2021,Eastern Asia,147.0
825,Sep 2021,Eastern Europe,18.0
826,Sep 2021,Latin America and the Caribbean,4.0
827,Sep 2021,Melanesia,1.0
828,Sep 2021,Northern Africa,29.0
829,Sep 2021,Northern America,59.0
830,Sep 2021,Northern Europe,33.0
831,Sep 2021,South-eastern Asia,888.0
832,Sep 2021,Southern Asia,27.0
833,Sep 2021,Southern Europe,16.0
834,Sep 2021,Sub-Saharan Africa,13.0
835,Sep 2021,Western Asia,33.0
836,Sep 2021,Western Europe,33.0
837,Sep 2022,Australia and New Zealand,1015.0
838,Sep 2022,Central Asia,75.0
839,Sep 2022,Eastern Asia,1576.0
840,Sep 2022,Eastern Europe,95.0
841,Sep 2022,Latin America and the Caribbean,23.0
842,Sep 2022,Melanesia,17.0
843,Sep 2022,Micronesia,2.0
844,Sep 2022,Northern Africa,173.0
845,Sep 2022,Northern America,855.0
846,Sep 2022,Northern Europe,290.0
847,Sep 2022,Polynesia,7.0
848,Sep 2022,South-eastern Asia,15106.0
849,Sep 2022,Southern Asia,2110.0
850,Sep 2022,Southern Europe,92.0
851,Sep 2022,Sub-Saharan Africa,34.0
852,Sep 2022,Western Asia,118.0
853,Sep 2022,Western Europe,343.0
854,Sep 2023,Australia and New Zealand,1697.0
855,Sep 2023,Central Asia,109.0
856,Sep 2023,Eastern Asia,4394.0
857,Sep 2023,Eastern Europe,174.0
858,Sep 2023,Latin America and the Caribbean,42.0
859,Sep 2023,Melanesia,35.0
860,Sep 2023,Micronesia,3.0
861,Sep 2023,Northern Africa,262.0
862,Sep 2023,Northern America,1041.0
863,Sep 2023,Northern Europe,374.0
864,Sep 2023,Polynesia,6.0
865,Sep 2023,South-eastern Asia,20054.0
866,Sep 2023,Southern Asia,2825.0
867,Sep 2023,Southern Europe,159.0
868,Sep 2023,Sub-Saharan Africa,59.0
869,Sep 2023,Western Asia,163.0
870,Sep 2023,Western Europe,468.0

