,year,country,latitude,longitude,region,arrivals
105,2020,Malawi,-13.254308,34.301525,Africa,67.0
106,2020,Maldives,3.202778,73.22068,Asia,5117.0
107,2020,Mali,17.570692,-3.996166,Africa,31.0
108,2020,Malta,35.937496,14.375416,Europe,136.0
109,2020,Marshall Islands,7.131474,171.184478,Oceania,10.0
110,2020,Mauritania,21.00789,-10.940835,Africa,72.0
111,2020,Mauritius,-20.348404,57.552152,Africa,2440.0
112,2020,Mayotte,-12.8275,45.166244,Africa,1.0
113,2020,Mexico,23.634501,-102.552784,Americas,1651.0
114,2020,"Micronesia, Federated States of",7.425554,150.550812,Oceania,3.0
115,2020,"Moldova, Republic of",47.411631,28.369885,Europe,140.0
116,2020,Monaco,43.750298,7.412841,Europe,11.0
117,2020,Mongolia,46.862496,103.846656,Asia,1379.0
118,2020,Montenegro,42.708678,19.37439,Europe,78.0
119,2020,Morocco,31.791702,-7.09262,Africa,2337.0
120,2020,Mozambique,-18.665695,35.529562,Africa,118.0
121,2020,Myanmar,21.913965,95.956223,Asia,36809.0
122,2020,Nauru,-0.522778,166.931503,Oceania,3.0
123,2020,Nepal,28.394857,84.124008,Asia,33558.0
124,2020,Netherlands,52.132633,5.291266,Europe,17045.0
125,2020,New Zealand,-40.900557,174.885971,Oceania,10816.0
126,2020,Nicaragua,12.865416,-85.207229,Americas,27.0
127,2020,Niger,17.607789,8.081666,Africa,12.0
128,2020,Nigeria,9.081999,8.675277,Africa,2132.0
129,2020,North Macedonia,41.608635,21.745275,Europe,129.0
130,2020,Northern Mariana Islands,17.33083,145.38469,Oceania,2.0
131,2020,Norway,60.472024,8.468946,Europe,4172.0
132,2020,Oman,21.512583,55.923255,Asia,3377.0
133,2020,Pakistan,30.375321,69.345116,Asia,36609.0
134,2020,"Palestine, State of",31.952162,35.233154,Asia,1215.0
135,2020,Panama,8.537981,-80.782127,Americas,121.0
136,2020,Papua New Guinea,-6.314993,143.95555,Oceania,200.0
137,2020,Paraguay,-23.442503,-58.443832,Americas,35.0
138,2020,Peru,-9.189967,-75.015152,Americas,508.0
139,2020,Philippines,12.879721,121.774017,Asia,97011.0
140,2020,Poland,51.919438,19.145136,Europe,8386.0
141,2020,Portugal,39.399872,-8.224454,Europe,2228.0
142,2020,Qatar,25.354826,51.183884,Asia,230.0
143,2020,Romania,45.943161,24.96676,Europe,3120.0
144,2020,Russian Federation,61.52401,105.318756,Europe,33674.0
145,2020,Rwanda,-1.940278,29.873888,Africa,19.0
146,2020,Saint Kitts and Nevis,17.357822,-62.782998,Americas,136.0
147,2020,Saint Lucia,13.909444,-60.978893,Americas,34.0
148,2020,Saint Vincent and the Grenadines,12.984305,-61.287228,Americas,5.0
149,2020,Samoa,-13.759029,-172.104629,Oceania,9.0
150,2020,San Marino,43.94236,12.457777,Europe,8.0
151,2020,Sao Tome and Principe,0.18636,6.613081,Africa,10.0
152,2020,Saudi Arabia,23.885942,45.079162,Asia,24594.0
153,2020,Senegal,14.497401,-14.452362,Africa,176.0
154,2020,Serbia,44.016521,21.005859,Europe,354.0
155,2020,Seychelles,-4.679574,55.491977,Africa,280.0
156,2020,Sierra Leone,8.460555,-11.779889,Africa,122.0
157,2020,Singapore,1.352083,103.819836,Asia,2777821.0
158,2020,Slovakia,48.669026,19.699024,Europe,2306.0
159,2020,Slovenia,46.151241,14.995463,Europe,662.0
160,2020,Solomon Islands,-9.64571,160.156194,Oceania,45.0
161,2020,Somalia,5.152149,46.199616,Africa,876.0
162,2020,South Africa,-30.559482,22.937506,Africa,4876.0
163,2020,Spain,40.463667,-3.74922,Europe,7612.0
164,2020,Sri Lanka,7.873054,80.771797,Asia,10368.0
165,2020,Sudan,12.862807,30.217636,Africa,3074.0
166,2020,Suriname,3.919305,-56.027783,Americas,32.0
167,2020,Sweden,60.128161,18.643501,Europe,10271.0
168,2020,Switzerland,46.818188,8.227512,Europe,6043.0
169,2020,Syrian Arab Republic,34.802075,38.996815,Asia,2307.0
170,2020,"Taiwan, Province of China",23.69781,120.960515,Asia,66860.0
171,2020,Tajikistan,38.861034,71.276093,Asia,326.0
172,2020,"Tanzania, United Republic of",-6.369028,34.888822,Africa,615.0
173,2020,Thailand,15.870032,100.992541,Asia,537336.0
174,2020,Timor-Leste,-8.874217,125.727539,Asia,258.0
175,2020,Togo,8.619543,0.824782,Africa,30.0
176,2020,Tokelau,-8.967363,-171.855881,Oceania,2.0
177,2020,Tonga,-21.178986,-175.198242,Oceania,23.0
178,2020,Trinidad and Tobago,10.691803,-61.222503,Americas,115.0
179,2020,Tunisia,33.886917,9.537499,Africa,884.0
180,2020,Turkmenistan,38.969719,59.556278,Asia,361.0
181,2020,Türkiye,38.963745,35.243322,Asia,3778.0
182,2020,Uganda,1.373333,32.290275,Africa,339.0
183,2020,Ukraine,48.379433,31.16558,Europe,7653.0
184,2020,United Arab Emirates,23.424076,53.847818,Asia,751.0
185,2020,United Kingdom,55.378051,-3.435973,Europe,75176.0
186,2020,United States,37.09024,-95.712891,Americas,54456.0
187,2020,Uruguay,-32.522779,-55.765835,Americas,480.0
188,2020,Uzbekistan,41.377491,64.585262,Asia,4122.0
189,2020,Vanuatu,-15.376706,166.959158,Oceania,226.0
190,2020,"Venezuela, Bolivarian Republic of",6.42375,-66.58973,Americas,323.0
191,2020,Viet Nam,14.058324,108.277199,Asia,72079.0
192,2020,Yemen,15.552727,48.516388,Asia,6429.0
193,2020,Zambia,-13.133897,27.849332,Africa,239.0
194,2020,Zimbabwe,-19.015438,29.154857,Africa,474.0
195,2021,Afghanistan,33.93911,67.709953,Asia,304.0
196,2021,Albania,41.153332,20.168331,Europe,15.0
197,2021,Algeria,28.033886,1.659626,Africa,158.0
198,2021,Angola,-11.202692,17.873887,Africa,4.0
199,2021,Antigua and Barbuda,17.060816,-61.796428,Americas,2.0
200,2021,Argentina,-38.416097,-63.616672,Americas,97.0
201,2021,Armenia,40.069099,45.038189,Asia,8.0
202,2021,Australia,-25.274398,133.775136,Oceania,1900.0
203,2021,Austria,47.516231,14.550072,Europe,227.0
204,2021,Azerbaijan,40.143105,47.576927,Asia,43.0
205,2021,Bahrain,25.930414,50.637772,Asia,27.0
206,2021,Bangladesh,23.684994,90.356331,Asia,8061.0
207,2021,Barbados,13.193887,-59.543198,Americas,5.0
208,2021,Belarus,53.709807,27.953389,Europe,12.0
209,2021,Belgium,50.503887,4.469936,Europe,250.0
210,2021,Belize,17.189877,-88.49765,Americas,6.0
211,2021,Benin,9.30769,2.315834,Africa,2.0
212,2021,Bhutan,27.514162,90.433601,Asia,17.0
213,2021,"Bolivia, Plurinational State of",-16.290154,-63.588653,Americas,2.0
214,2021,Bosnia and Herzegovina,43.915886,17.679076,Europe,56.0
215,2021,Botswana,-22.328474,24.684866,Africa,9.0
216,2021,Brazil,-14.235004,-51.92528,Americas,304.0
217,2021,Brunei Darussalam,4.535277,114.727669,Asia,4162.0
218,2021,Bulgaria,42.733883,25.48583,Europe,147.0
219,2021,Burkina Faso,12.238333,-1.561593,Africa,2.0
220,2021,Burundi,-3.373056,29.918886,Africa,12.0
221,2021,Cambodia,12.565679,104.990963,Asia,403.0
222,2021,Cameroon,7.369722,12.354722,Africa,25.0
223,2021,Canada,56.130366,-106.346771,Americas,804.0
224,2021,Central African Republic,6.611111,20.939444,Africa,2.0
225,2021,Chad,15.454166,18.732207,Africa,19.0
226,2021,Chile,-35.675147,-71.542969,Americas,37.0
227,2021,China,35.86166,104.195397,Asia,15555.0
228,2021,Colombia,4.570868,-74.297333,Americas,76.0
229,2021,Comoros,-11.875001,43.872219,Africa,24.0
230,2021,Congo,-0.228021,15.827659,Africa,1.0
231,2021,"Congo, The Democratic Republic of the",-4.038333,21.758664,Africa,15.0
232,2021,Costa Rica,9.748917,-83.753428,Americas,91.0
233,2021,Croatia,45.1,15.2,Europe,341.0
234,2021,Cuba,21.521757,-77.781167,Americas,4.0
235,2021,Cyprus,35.126413,33.429859,Asia,8.0
236,2021,Czechia,49.817492,15.472962,Europe,88.0
237,2021,Côte d'Ivoire,7.539989,-5.54708,Africa,12.0
238,2021,Denmark,56.26392,9.501785,Europe,331.0
239,2021,Djibouti,11.825138,42.590275,Africa,51.0
240,2021,Dominica,15.414999,-61.370976,Americas,20.0
241,2021,Dominican Republic,18.735693,-70.162651,Americas,1.0
242,2021,Ecuador,-1.831239,-78.183406,Americas,8.0
243,2021,Egypt,26.820553,30.802498,Africa,1289.0
244,2021,El Salvador,13.794185,-88.89653,Americas,2.0
245,2021,Equatorial Guinea,1.650801,10.267895,Africa,12.0
246,2021,Eritrea,15.179384,39.782334,Africa,14.0
247,2021,Estonia,58.595272,25.013607,Europe,27.0
248,2021,Eswatini,-26.522503,31.465866,Africa,11.0
249,2021,Ethiopia,9.145,40.489673,Africa,51.0
250,2021,Fiji,-16.578193,179.414413,Oceania,10.0
